CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_REGION,CUSTOMER_AGE,CUSTOMER_GENDER,CUSTOMER_SEGMENT
0,Customer 0,North,59,Male,Premium
1,Customer 1,South,43,Female,Regular
2,Customer 2,East,59,Male,Occasional
3,Customer 3,West,51,Female,Premium
4,Customer 4,Central,25,Male,Regular
5,Customer 5,North,47,Female,Occasional
6,Customer 6,South,30,Male,Premium
7,Customer 7,East,62,Female,Regular
8,Customer 8,West,51,Male,Occasional
9,Customer 9,Central,31,Female,Premium
10,Customer 10,North,56,Male,Regular
11,Customer 11,South,26,Female,Occasional
12,Customer 12,East,51,Male,Premium
13,Customer 13,West,65,Female,Regular
14,Customer 14,Central,46,Male,Occasional
15,Customer 15,North,55,Female,Premium
16,Customer 16,South,53,Male,Regular
17,Customer 17,East,34,Female,Occasional
18,Customer 18,West,37,Male,Premium
19,Customer 19,Central,50,Female,Regular
20,Customer 20,North,53,Male,Occasional
21,Customer 21,South,47,Female,Premium
22,Customer 22,East,22,Male,Regular
23,Customer 23,West,62,Female,Occasional
24,Customer 24,Central,39,Male,Premium
25,Customer 25,North,32,Female,Regular
26,Customer 26,South,54,Male,Occasional
27,Customer 27,East,41,Female,Premium
28,Customer 28,West,50,Male,Regular
29,Customer 29,Central,33,Female,Occasional
30,Customer 30,North,19,Male,Premium
31,Customer 31,South,39,Female,Regular
32,Customer 32,East,60,Male,Occasional
33,Customer 33,West,25,Female,Premium
34,Customer 34,Central,29,Male,Regular
35,Customer 35,North,47,Female,Occasional
36,Customer 36,South,38,Male,Premium
37,Customer 37,East,58,Female,Regular
38,Customer 38,West,22,Male,Occasional
39,Customer 39,Central,47,Female,Premium
40,Customer 40,North,37,Male,Regular
41,Customer 41,South,48,Female,Occasional
42,Customer 42,East,61,Male,Premium
43,Customer 43,West,54,Female,Regular
44,Customer 44,Central,61,Male,Occasional
45,Customer 45,North,52,Female,Premium
46,Customer 46,South,42,Male,Regular
47,Customer 47,East,47,Female,Occasional
48,Customer 48,West,24,Male,Premium
49,Customer 49,Central,56,Female,Regular
50,Customer 50,North,56,Male,Occasional
51,Customer 51,South,49,Female,Premium
52,Customer 52,East,36,Male,Regular
53,Customer 53,West,51,Female,Occasional
54,Customer 54,Central,34,Male,Premium
55,Customer 55,North,24,Female,Regular
56,Customer 56,South,51,Male,Occasional
57,Customer 57,East,19,Female,Premium
58,Customer 58,West,58,Male,Regular
59,Customer 59,Central,61,Female,Occasional
60,Customer 60,North,40,Male,Premium
61,Customer 61,South,26,Female,Regular
62,Customer 62,East,63,Male,Occasional
63,Customer 63,West,64,Female,Premium
64,Customer 64,Central,61,Male,Regular
65,Customer 65,North,46,Female,Occasional
66,Customer 66,South,65,Male,Premium
67,Customer 67,East,50,Female,Regular
68,Customer 68,West,40,Male,Occasional
69,Customer 69,Central,31,Female,Premium
70,Customer 70,North,40,Male,Regular
71,Customer 71,South,41,Female,Occasional
72,Customer 72,East,41,Male,Premium
73,Customer 73,West,26,Female,Regular
74,Customer 74,Central,55,Male,Occasional
75,Customer 75,North,37,Female,Premium
76,Customer 76,South,50,Male,Regular
77,Customer 77,East,27,Female,Occasional
78,Customer 78,West,41,Male,Premium
79,Customer 79,Central,27,Female,Regular
80,Customer 80,North,59,Male,Occasional
81,Customer 81,South,26,Female,Premium
82,Customer 82,East,63,Male,Regular
83,Customer 83,West,58,Female,Occasional
84,Customer 84,Central,37,Male,Premium
85,Customer 85,North,44,Female,Regular
86,Customer 86,South,33,Male,Occasional
87,Customer 87,East,59,Female,Premium
88,Customer 88,West,32,Male,Regular
89,Customer 89,Central,64,Female,Occasional
90,Customer 90,North,33,Male,Premium
91,Customer 91,South,52,Female,Regular
92,Customer 92,East,53,Male,Occasional
93,Customer 93,West,37,Female,Premium
94,Customer 94,Central,34,Male,Regular
95,Customer 95,North,33,Female,Occasional
96,Customer 96,South,25,Male,Premium
97,Customer 97,East,54,Female,Regular
98,Customer 98,West,19,Male,Occasional
99,Customer 99,Central,24,Female,Premium
100,Customer 100,North,24,Male,Regular
101,Customer 101,South,39,Female,Occasional
102,Customer 102,East,26,Male,Premium
103,Customer 103,West,47,Female,Regular
104,Customer 104,Central,62,Male,Occasional
105,Customer 105,North,52,Female,Premium
106,Customer 106,South,28,Male,Regular
107,Customer 107,East,60,Female,Occasional
108,Customer 108,West,27,Male,Premium
109,Customer 109,Central,24,Female,Regular
110,Customer 110,North,24,Male,Occasional
111,Customer 111,South,30,Female,Premium
112,Customer 112,East,59,Male,Regular
113,Customer 113,West,56,Female,Occasional
114,Customer 114,Central,29,Male,Premium
115,Customer 115,North,20,Female,Regular
116,Customer 116,South,35,Male,Occasional
117,Customer 117,East,22,Female,Premium
118,Customer 118,West,41,Male,Regular
119,Customer 119,Central,20,Female,Occasional
120,Customer 120,North,34,Male,Premium
121,Customer 121,South,61,Female,Regular
122,Customer 122,East,43,Male,Occasional
123,Customer 123,West,59,Female,Premium
124,Customer 124,Central,40,Male,Regular
125,Customer 125,North,31,Female,Occasional
126,Customer 126,South,48,Male,Premium
127,Customer 127,East,60,Female,Regular
128,Customer 128,West,24,Male,Occasional
129,Customer 129,Central,62,Female,Premium
130,Customer 130,North,46,Male,Regular
131,Customer 131,South,59,Female,Occasional
132,Customer 132,East,27,Male,Premium
133,Customer 133,West,58,Female,Regular
134,Customer 134,Central,65,Male,Occasional
135,Customer 135,North,34,Female,Premium
136,Customer 136,South,55,Male,Regular
137,Customer 137,East,19,Female,Occasional
138,Customer 138,West,20,Male,Premium
139,Customer 139,Central,29,Female,Regular
140,Customer 140,North,38,Male,Occasional
141,Customer 141,South,39,Female,Premium
